RANK	SB SCORE	USER	NETWORK	WEBSITE	SUBSCRIBERS	VIDEO VIEWS
61	2,616	B+	SBS Entertainment	https://socialblade.com/youtube/user/entertainmentsbs	903,903	853,510,534
62	2,737	B+	tvN	https://socialblade.com/youtube/user/thechtvn	553,271	346,804,877
63	2,818	B+	테드TV	https://socialblade.com/youtube/user/5pbefwtpaudku65kbrosbg	346,267	119,440,673
64	2,837	B+	영국남자 Korean Englishman	https://socialblade.com/youtube/user/koreanenglishman	1,921,210	358,353,646
65	2,870	B+	SBS 뉴스	https://socialblade.com/youtube/user/sbsnews8	56,586	94,024,674
66	2,921	B+	spotv	https://socialblade.com/youtube/user/spotv	356,566	377,285,209
67	3,046	B+	DramaKBS	https://socialblade.com/youtube/user/dramakbs	486,529	866,195,086
68	3,073	B+	MariAndKids	https://socialblade.com/youtube/user/pgfluuesbnhkotpit71awg	233,362	194,822,828
69	3,080	B+	mirrorHD	https://socialblade.com/youtube/user/mirrorhd	859,937	381,822,027
70	3,125	B+	EBSDocumentary (EBS 다큐)	https://socialblade.com/youtube/user/ebsdocumentary	335,046	326,459,900
71	3,161	B+	한국민속촌	https://socialblade.com/youtube/user/koreanfolkvillage	--	88,447,907
72	3,210	B+	대도서관TV (buzzbean11)	https://socialblade.com/youtube/user/buzzbean11	1,519,883	730,113,027
73	3,287	B+	철구형 (CHULTUBE)	https://socialblade.com/youtube/user/chul9hyung	521,300	452,118,078
74	3,303	B+	MBCClassic	https://socialblade.com/youtube/user/mbcclassic	448,726	972,167,105
75	3,377	B+	RodemTree 로뎀나무	https://socialblade.com/youtube/user/-cxwgj0kx-7dee2cm8ggkq	76,011	54,853,933
76	3,442	B+	밴쯔	https://socialblade.com/youtube/user/eodyd188	1,489,518	541,890,686
77	3,454	B+	딩고 뮤직	https://socialblade.com/youtube/user/tcio5t2vob14cmzktkizpq	378,758	96,737,021
78	3,582	B+	채널A Home	https://socialblade.com/youtube/user/mainchannela	208,624	367,356,161
79	3,616	B+	EXID_OFFICIAL	https://socialblade.com/youtube/user/officialexid	699,947	244,261,960
80	3,718	B+	악어 유튜브	https://socialblade.com/youtube/user/bjacau1	1,175,335	586,536,215
81	3,860	B+	typhoon an	https://socialblade.com/youtube/user/lhmw8ptprop2wdy2dis-ma	23,296	20,471,655
82	3,882	B+	lolQ 롤큐	https://socialblade.com/youtube/user/a-iaopw5r1oq4vuf3qjepa	276,898	115,323,687
