RANK	SB SCORE	USER	NETWORK	WEBSITE	SUBSCRIBERS	VIDEO VIEWS
68	3,008	B+	なーちゃんねる(Naaachannel)	https://socialblade.com/youtube/user/anpanmanthomas1	205,122	315,854,343
69	3,031	B+	東海オンエアの控え室	https://socialblade.com/youtube/user/tokaihikaesitsu	647,301	195,990,402
70	3,111	B+	禁断ボーイズ	https://socialblade.com/youtube/user/vtk7490fpf0tacbsvq2h3g	1,081,162	300,146,589
71	3,112	B+	スロパチステーション	https://socialblade.com/youtube/user/kylife711	284,828	194,328,460
72	3,147	B+	瀬戸弘司 / Koji Seto	https://socialblade.com/youtube/user/eguri89	1,277,140	589,866,422
73	3,151	B+	Kamykazeplay	https://socialblade.com/youtube/user/kamykazeplay	883,782	86,694,885
74	3,191	B+	ぎこちゃん	https://socialblade.com/youtube/user/0cpuglqr4ylemrg7543deg	438,313	253,863,437
75	3,225	B+	しまじろうチャンネル（YouTube）	https://socialblade.com/youtube/user/shimajiroch	406,382	348,314,227
76	3,244	B+	ちはやYTS2	https://socialblade.com/youtube/user/dal231	327,186	251,664,516
77	3,283	B+	ジョーブログ【金髪の革命児】	https://socialblade.com/youtube/user/joevlog7	499,173	125,578,796
78	3,304	B+	janbaritv	https://socialblade.com/youtube/user/janbaritv	350,634	544,847,870
79	3,356	B+	ANNnewsCH	https://socialblade.com/youtube/user/annnewsch	190,455	276,742,840
80	3,458	B+	radwimpsstaff	https://socialblade.com/youtube/user/radwimpsstaff	682,737	461,504,848
81	3,505	B+	ALPACO	https://socialblade.com/youtube/user/v7biallvqxmafbamqzpibg	226,135	141,505,972
82	3,534	B+	ハイサイ探偵団	https://socialblade.com/youtube/user/hittyaso	301,584	145,561,818
83	3,540	B+	水溜りボンド２（サブ）	https://socialblade.com/youtube/user/atfx7ckdowpnwhwcjgh2kq	518,045	75,596,663
84	3,552	B+	Fate Games	https://socialblade.com/youtube/user/me4pwzomgxz4eoyd_6jz0g	174,102	158,240,654
85	3,587	B+	Nekojitablog	https://socialblade.com/youtube/user/macaroneru	1,115,198	94,786,893
86	3,665	B+	PDSKabushikiGaisha	https://socialblade.com/youtube/user/pdskabushikigaisha	1,193,245	816,095,779
87	3,679	B+	kobasolo	https://socialblade.com/youtube/user/hujikoman	686,383	289,107,251
88	3,759	B+	oricon	https://socialblade.com/youtube/user/oriconofficial	127,836	293,324,183
89	3,782	B+	TomoNews Japan	https://socialblade.com/youtube/user/tomonewsjp	296,397	627,155,287
90	3,787	B+	PacificLeagueMovie	https://socialblade.com/youtube/user/pacificleaguemovie	349,806	438,655,708
91	3,818	B+	釣りよかでしょう。	https://socialblade.com/youtube/user/yoorai0121	277,072	129,630,780
92	3,985	B+	米津玄師	https://socialblade.com/youtube/user/08yakari	520,042	231,403,440
93	4,299	B+	TV 三浦	https://socialblade.com/youtube/user/jibanyan	262,511	572,400,672
94	4,325	B+	東宝MOVIEチャンネル	https://socialblade.com/youtube/user/officialtohomovie	180,316	226,965,966
95	4,337	B+	スクウェア・エニックス	https://socialblade.com/youtube/user/squareenix	397,864	328,996,689
96	4,339	B+	モンストアニメ公式	https://socialblade.com/youtube/user/wzenzsy9gjbcpzdsm-ux5w	420,519	190,562,329
97	4,365	B+	MasuoGames	https://socialblade.com/youtube/user/masuogames	452,018	221,725,142
98	4,402	B+	aubyKDDIofficial	https://socialblade.com/youtube/user/aubykddiofficial	178,073	253,749,224
99	4,437	B+	20sarasa（にーさら）	https://socialblade.com/youtube/user/20sarasa	430,687	535,179,192
100	4,508	B+	レトルト	https://socialblade.com/youtube/user/retokani	571,119	290,402,004
